[364, 240]
[152, 371]
[320, 327]
[307, 255]
[100, 331]
[121, 340]
[178, 369]
[173, 375]
[209, 350]
[216, 350]
[204, 350]
[195, 372]
[187, 351]
[187, 371]
[192, 350]
[187, 372]
[199, 372]
[190, 372]
[193, 372]
[191, 351]
[191, 372]
[191, 371]
[192, 372]
[191, 373]
[190, 371]
[188, 373]
[188, 372]
[186, 372]
[192, 368]
[177, 355]
[259, 352]
[158, 355]
[270, 366]
[197, 375]
[192, 375]
[255, 375]
[181, 374]
[179, 374]
[181, 373]
[118, 432]
[320, 343]
[320, 343]
[320, 343]
[320, 423]
[320, 424]
[125, 424]
[126, 425]
[174, 442]
[132, 373]
[320, 240]
[320, 240]
[320, 240]
[320, 383]
[320, 389]
[497, 392]
[320, 240]
[320, 240]
[320, 240]
[320, 240]
[320, 386]
[320, 390]
[320, 392]
[320, 401]
[320, 410]
[320, 411]
[320, 413]
[320, 413]
[320, 414]
[320, 424]
[320, 425]
[271, 422]
[260, 63]
[320, 240]
[320, 240]
[320, 425]
[320, 240]
[320, 240]
[320, 240]
[320, 240]
[320, 240]
[320, 355]
[302, 351]
[301, 365]
[300, 377]
[302, 375]
[202, 240]
[226, 240]
[231, 240]
[220, 240]
